LB-9000 : инициализировано как ON,Local HMI,LB,9000,,16-bit Unsigned,Поддерживается
LB-9001 : инициализировано как ON,Local HMI,LB,9001,,16-bit Unsigned,Поддерживается
LB-9002 : инициализировано как ON,Local HMI,LB,9002,,16-bit Unsigned,Поддерживается
LB-9003 : инициализировано как ON,Local HMI,LB,9003,,16-bit Unsigned,Поддерживается
LB-9004 : инициализировано как ON,Local HMI,LB,9004,,16-bit Unsigned,Поддерживается
LB-9005 : инициализировано как ON,Local HMI,LB,9005,,16-bit Unsigned,Поддерживается
LB-9006 : инициализировано как ON,Local HMI,LB,9006,,16-bit Unsigned,Поддерживается
LB-9007 : инициализировано как ON,Local HMI,LB,9007,,16-bit Unsigned,Поддерживается
LB-9008 : инициализировано как ON,Local HMI,LB,9008,,16-bit Unsigned,Поддерживается
LB-9009 : инициализировано как ON,Local HMI,LB,9009,,16-bit Unsigned,Поддерживается
LB-9010 : индикатор записи при передаче данных,Local HMI,LB,9010,,16-bit Unsigned,Поддерживается
LB-9011 : индикатор чтения при передаче данных,Local HMI,LB,9011,,16-bit Unsigned,Поддерживается
LB-9012 : индикатор выполнения при передаче данных,Local HMI,LB,9012,,16-bit Unsigned,Поддерживается
LB-9013 : FS окно[скрыть(ON)/показать(OFF)],Local HMI,LB,9013,,16-bit Unsigned,Неподдерживается
LB-9014 : FS кнопка[скрыть(ON)/показать(OFF)],Local HMI,LB,9014,,16-bit Unsigned,Неподдерживается
LB-9015 : FS окно/кнопка[скрыть(ON)/показать(OFF)],Local HMI,LB,9015,,16-bit Unsigned,Неподдерживается
"LB-9016 : статус включен, когда любой удаленный клиент панели подключается к этой панели, который действует как удаленная панель",Local HMI,LB,9016,,16-bit Unsigned,Поддерживается
LB-9017 : запретить обратную запись в объекте ПЛК[изменить окно],Local HMI,LB,9017,,16-bit Unsigned,Поддерживается
LB-9018 : скрыть курсор мыши (ON),Local HMI,LB,9018,,16-bit Unsigned,Поддерживается
LB-9019 : выключить/включить зуммер,Local HMI,LB,9019,,16-bit Unsigned,Поддерживается
LB-9020 : показать (ON)/ скрыть (OFF) системную панель настроек,Local HMI,LB,9020,,16-bit Unsigned,Поддерживается
LB-9021 : сбросить текущий журнал событий (OFF->ON),Local HMI,LB,9021,,16-bit Unsigned,Поддерживается
LB-9022 : удалить самый давний файл журнала в памяти панели (ON),Local HMI,LB,9022,,16-bit Unsigned,Неподдерживается
LB-9023 : удалить все файлы журналов в памяти панели (ON),Local HMI,LB,9023,,16-bit Unsigned,Поддерживается
LB-9024 : обновить информацию о журналах в памяти панели (ON),Local HMI,LB,9024,,16-bit Unsigned,Неподдерживается
LB-9025 : удалить самый давний файл выборок данных в памяти панели (ON),Local HMI,LB,9025,,16-bit Unsigned,Неподдерживается
